,9619208: How would you rate your Python proficiency?,9619209: How comfortable are you with Git/GitHub?,9619210: What is your level in data cleaning/preprocessing?,9619211: How would you describe your Exploratory Data Analysis (EDA) skills?,9619212: What’s your proficiency in data visualization?,9602345: Which best captures your ML foundations?,9619215: How proficient are you with ML tooling?,9602349: What’s your experience level with LLMs?,9602350: How experienced are you with deployment/DevOps?,9602351: What is your cloud familiarity (AWS/GCP/Azure)?,"9602356: On a scale of 1–10, how comfortable are you with self-directed learning  debugging?",9602417: What are your top 3 learning goals for this course? (Short phrases; list three.),9602418: Do you have any concerns about prerequisites or background? (Briefly describe.),"9602426: Which specific tools or topics do you hope we cover? (Name libraries, platforms, or themes.)"
0,"Advanced (testing, packaging, async, profiling)","Advanced (rebasing, resolving complex conflicts, Gitflow)","Intermediate (joins/merges, outlier handling, feature scaling/encoding)","Basic (descriptives, simple plots)",Advanced (dashboards/storytelling; audience-appropriate design),Tutorials completed (fit/predict on standard datasets),"Intermediate (hyperparameter tuning, cross-validation, feature engineering)","Advanced (API usage, structured prompting, small RAG apps)",,,"9–10 Very comfortable (systematic, persistent, document findings)","Paying attention to details.

To learn more about machine learning models to become a better Kaggle competitor.

To try different organizational methods.",No.,
1,"Basic (variables, loops, lists; simple scripts)","Basic (clone, add, commit, push)","Basic (remove duplicates, simple imputations)",,Basic (matplotlib/Excel charts),Theoretical only (coursework/reading),Basic (scikit-learn pipelines; standard models),"Intermediate (code gen/debugging, data exploration)",,,"5–6 Neutral (can try first, then seek help)","1. Collect, process, and analyze data for predicative analysis

2. Use machine learning tools to build predicative models.

3. Understanding methods of predicative analysis.","Concerns about experience with Python, DevOps, and Cloud and other technical aspects","I hope to cover relevant platforms and tools used for Predicative Analytics, Model Deployment, and Data Visualization "
2,"Intermediate (functions/classes, pandas/numpy, file I/O)","Intermediate (branching, merging, pull requests)","Intermediate (joins/merges, outlier handling, feature scaling/encoding)","Basic (descriptives, simple plots)","Intermediate (seaborn/plotly; multi-facet charts, interactive)",Tutorials completed (fit/predict on standard datasets),"Intermediate (hyperparameter tuning, cross-validation, feature engineering)",No LLM experience,,,"5–6 Neutral (can try first, then seek help)","1. In this course, I would like to work with cloud development and how it can be used as a tool in certain data science scenarios. 

2. I do not have much experience when it comes to LLM's so I'm curious about what exactly they are there for and how does it tie into the data scientist role. 

3. I have seen a lot of work recently with AWS. What services do they use, and how can we benefit from them? ",,"I would love to use more organization tools, such as Tableau, and learn about some AWS systems and their implications. "
3,"Intermediate (functions/classes, pandas/numpy, file I/O)","Basic (clone, add, commit, push)","Intermediate (joins/merges, outlier handling, feature scaling/encoding)","Intermediate (groupby, multi-variate plots, basic hypothesis checks)","Intermediate (seaborn/plotly; multi-facet charts, interactive)","Projects (train/val/test splits, metrics, model comparison)","Intermediate (hyperparameter tuning, cross-validation, feature engineering)",No LLM experience,,,"5–6 Neutral (can try first, then seek help)","- Be extremely comfortable using a wide range of software/programs that are used in the professional world (github, streamlit)

* Expand my statistics knowledge and understanding

* Understand LLM structure","I struggle with using GitHub, mostly just because of issues with connecting it to my laptop and issues with my SSH key. I'm hoping this is something I can get help with in Office Hours.","Working with/creating LLMs, using statistics, and visualization tools."
4,"Advanced (testing, packaging, async, profiling)","Intermediate (branching, merging, pull requests)","Intermediate (joins/merges, outlier handling, feature scaling/encoding)","Intermediate (groupby, multi-variate plots, basic hypothesis checks)","Intermediate (seaborn/plotly; multi-facet charts, interactive)","Projects (train/val/test splits, metrics, model comparison)",Basic (scikit-learn pipelines; standard models),"Intermediate (code gen/debugging, data exploration)",Basic (Streamlit/Gradio; simple hosting),"Basic (compute/storage setup, permissions basics)",7–8 Comfortable (usually solve with docs/forums),"First goal is to become mroe familiar with cloud projects like with Azure. I also want to practice ML tools and LLm's. Those two are my primary goals, though I want to hear and learn from professionals on how to navigate the industry.","No, I feel well equipped for this class. My summer internship did not utilize all the skills we are practicing here, but I spent time familiarizing myself with most of those listed. I am confident in many of the programs listed in the first half of the survey.","I am really intrigued by Streamlit. The workflow seems pretty nice, and I have only used Power Bi and some Tableua for visualizations. I am unsure how we will cover it, but I also want to learn how to fit generative AI usage into my work. Seems most companies are interested in those who can use it most efficiently. I am also hoping to get at least an Advanced Microsoft Azure certification before this summer, so studying that will interest me."
5,"Intermediate (functions/classes, pandas/numpy, file I/O)","Basic (clone, add, commit, push)","Basic (remove duplicates, simple imputations)","Basic (descriptives, simple plots)","Intermediate (seaborn/plotly; multi-facet charts, interactive)",Tutorials completed (fit/predict on standard datasets),Basic (scikit-learn pipelines; standard models),No LLM experience,,,"5–6 Neutral (can try first, then seek help)","1. Have a better and deeper understanding on studio 3.

2. Understand what I am actually learning.

3. Put in effort and learn when I may not understand materials in class.",I dont have any concerns about prerequisites or background.,I don't have any topic or tools in mind. 
6,"Intermediate (functions/classes, pandas/numpy, file I/O)","Basic (clone, add, commit, push)","Intermediate (joins/merges, outlier handling, feature scaling/encoding)","Basic (descriptives, simple plots)","Intermediate (seaborn/plotly; multi-facet charts, interactive)",Tutorials completed (fit/predict on standard datasets),Basic (scikit-learn pipelines; standard models),"Intermediate (code gen/debugging, data exploration)",Basic (Streamlit/Gradio; simple hosting),,"5–6 Neutral (can try first, then seek help)","1) Extend skill set and advancing skills that I already have (Such as data analysis, coding in various languages and be able to conclude from results) 

2) Be more involved in learning and praticing skills and leaving the mindset of ""This is enough for the grade"" and instead have a mindset such as ""This is pratice for the real world so try my best and ask for help""

3) Better data cleaning and interpetations of the final results.",My only concerns is reviewing and using previous models/ python coding due to the summer break I feel a bit rusty about my knowledge and understanding of what we've already learned in the past studio courses. ,Specific tools would be git/github as i feel like I have a very basic understanding of it and as well as tableau as a whole
7,"Intermediate (functions/classes, pandas/numpy, file I/O)","Intermediate (branching, merging, pull requests)","Advanced (pipeline automation, leakage checks, reproducible transforms)","Intermediate (groupby, multi-variate plots, basic hypothesis checks)",Advanced (dashboards/storytelling; audience-appropriate design),"Pro/Research (reproducible workflows, error analysis, reporting)","Advanced (model selection under constraints, calibration, interpretability)","Advanced (API usage, structured prompting, small RAG apps)",Intermediate (Flask/FastAPI on VM; env management),"Intermediate (managed services: DB, queues, functions)","9–10 Very comfortable (systematic, persistent, document findings)","* Gain more experience with deployment/DevOps

* Improve explanatory data skills for presentations and audiences who are not familiar with data science

* Complete a project from scratch, almost like full stack development, but for data science",No concerns,"deployment/DevOps, AI prompting, strengthening Python skills"
8,"Intermediate (functions/classes, pandas/numpy, file I/O)","Intermediate (branching, merging, pull requests)","Intermediate (joins/merges, outlier handling, feature scaling/encoding)","Intermediate (groupby, multi-variate plots, basic hypothesis checks)","Intermediate (seaborn/plotly; multi-facet charts, interactive)","Projects (train/val/test splits, metrics, model comparison)","Intermediate (hyperparameter tuning, cross-validation, feature engineering)",No LLM experience,,"Basic (compute/storage setup, permissions basics)",3–4 Somewhat uncomfortable (prefer close support),"1. Learn how to organize my project, especially for tracking purposes of different versions

2. Learn how to sell my idea

3. How to integrate LLM in my project",No,"LLM integration, time series, feature weighing or oversampling and how to make the model really see those rare features."
9,"Basic (variables, loops, lists; simple scripts)","Basic (clone, add, commit, push)","Basic (remove duplicates, simple imputations)","Basic (descriptives, simple plots)",Basic (matplotlib/Excel charts),Theoretical only (coursework/reading),Basic (scikit-learn pipelines; standard models),"Intermediate (code gen/debugging, data exploration)",,,3–4 Somewhat uncomfortable (prefer close support),"Become proficient in the skills that were previously asked about.

Improve on my brainstorming and workflow efficiency.

Algorithmic trading is something I have strongly considered and want to further my education on.","My only concern is with some of the deployment and data visualization tools such as Tableau, and AWS as I have little to no experience with these.",I hope to learn a bit more about tensorflow 
